what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1336634724458
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1336634724458
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1336634724459
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1336634724460
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1336634724460
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1336634724461
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1336634724462
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1336634724464
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1336634724466
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1336634724466
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1336634724467
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1336634724468
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1336634724469
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1336634724469
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1336634724470
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1336634724470
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1336634724480
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1336634724481
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1336634724481
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1336634724482
started,bundle,de.fu_berlin.inf.dpp,11.12.9.r3685,"de.fu_berlin.inf.dpp",1336634724482
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1336634724483
os,sysinfo,,,"macosx",1336634724487
arch,sysinfo,,,"x86_64",1336634724487
ws,sysinfo,,,"cocoa",1336634724487
locale,sysinfo,,,"en_US",1336634724487
processors,sysinfo,,,"2",1336634724487
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1336634724487
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-10M3635",1336634724487
java.specification.name,sysinfo,,,"Java Platform API Specification",1336634724487
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1336634724487
java.specification.version,sysinfo,,,"1.6",1336634724487
java.vendor,sysinfo,,,"Apple Inc.",1336634724487
java.version,sysinfo,,,"1.6.0_31",1336634724487
java.vm.info,sysinfo,,,"mixed mode",1336634724487
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1336634724487
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1336634724487
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1336634724487
java.vm.specification.version,sysinfo,,,"1.0",1336634724487
java.vm.vendor,sysinfo,,,"Apple Inc.",1336634724487
java.vm.version,sysinfo,,,"20.6-b01-415",1336634724487
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1336634724498
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1336634725021
started,bundle,de.fu_berlin.inf.dpp.nebula,11.12.9.r3685,"de.fu_berlin.inf.dpp.nebula",1336634725045
opened,view,de.fu_berlin.inf.dpp,11.12.9.r3685,"de.fu_berlin.inf.dpp.ui.views.SarosView",1336634725289
activated,view,de.fu_berlin.inf.dpp,11.12.9.r3685,"de.fu_berlin.inf.dpp.ui.views.SarosView",1336634725342
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1336634725628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336634725750
